material_id,mean_AtomicWeight,mean_CovalentRadius,mean_Electronegativity,mean_MeltingT,mean_Row,mean_Column,mean_NsValence,mean_NpValence,mean_NdValence,range_CovalentRadius,range_Electronegativity,avgdev_Electronegativity,formation_energy_per_atom
ZrH2,31.08,79.0,1.91,718.6733,2.3333,2.0,1.3333,0.0,0.6667,144.0,0.87,0.3867,-0.929
Cr2O3,30.3981,95.2,2.728,904.88,2.8,12.0,1.6,2.4,2.0,73.0,1.78,0.8544,-2.444
TiO2,26.6219,97.3333,2.8067,683.5333,2.6667,12.0,2.0,2.6667,0.6667,94.0,1.9,0.8444,-3.388
FeCl2,42.2503,112.0,2.7167,718.0667,3.3333,14.0,2.0,3.3333,2.0,30.0,1.33,0.5911,-1.448
La2S3,74.8012,145.8,1.988,710.216,4.2,10.8,2.0,2.4,0.4,102.0,1.48,0.7104,-2.014
MoS2,53.3633,121.3333,2.44,1224.24,3.6667,12.6667,1.6667,2.6667,1.6667,49.0,0.42,0.1867,-0.992
TiC,29.9388,118.0,2.045,2882.0,3.0,9.0,2.0,1.0,1.0,84.0,1.01,0.505,-0.909
CoFe2O4,33.5173,93.4286,2.7571,801.3143,2.8571,12.7143,2.0,2.2857,2.7143,66.0,1.61,0.7804,-1.907
Nd2O3,67.2964,120.0,2.52,550.48,3.6,10.8,2.0,2.4,0.0,135.0,2.3,1.104,-3.747
MoO3,35.9895,88.0,3.12,765.1,2.75,13.5,1.75,3.0,1.25,88.0,1.28,0.48,-2.156
VN,32.4741,112.0,2.335,1123.025,3.0,10.0,2.0,1.5,1.5,82.0,1.41,0.705,-1.178
FeAl2O4,24.8294,91.1429,2.6871,556.7343,2.5714,14.0,2.0,2.5714,0.8571,66.0,1.83,0.8604,-2.978
Fe3Al,48.6291,129.25,1.775,1591.6175,3.75,9.25,2.0,0.25,4.5,11.0,0.22,0.0825,-0.205
B4C,11.0509,82.4,2.142,2643.0,2.0,13.2,2.0,1.2,0.0,8.0,0.51,0.1632,-0.162
MgSe,51.6325,130.5,1.93,708.5,3.5,9.0,2.0,2.0,5.0,21.0,1.24,0.62,-1.219
ZrC,51.6174,125.5,1.94,2975.5,3.5,9.0,2.0,1.0,1.0,99.0,1.22,0.61,-0.919
Li2O,9.9605,107.3333,1.8,320.7267,2.0,6.0,1.3333,1.3333,0.0,62.0,2.46,1.0933,-2.086
MgI2,92.7046,139.6667,2.21,565.5667,4.3333,12.0,2.0,3.3333,6.6667,2.0,1.35,0.6,-1.127
AlSb,74.3708,130.0,1.83,918.625,4.0,14.0,2.0,2.0,5.0,18.0,0.44,0.22,-0.213
MnFe2O4,32.9465,95.2857,2.71,765.7429,2.8571,12.4286,2.0,2.2857,2.4286,73.0,1.89,0.8343,-1.989
MgCl2,31.737,115.0,2.5433,422.0667,3.0,12.0,2.0,3.3333,0.0,39.0,1.85,0.8222,-2.293
MnO2,28.9789,90.3333,2.81,542.8667,2.6667,13.0,2.0,2.6667,1.6667,73.0,1.89,0.84,-1.905
InSb,118.289,140.5,1.915,666.765,5.0,14.0,2.0,2.0,10.0,3.0,0.27,0.135,-0.177
TaS2,81.6926,126.6667,2.22,1355.5733,4.0,12.3333,2.0,2.6667,1.0,65.0,1.08,0.48,-0.927
CsSnBr3,98.2655,148.6,2.326,320.814,4.6,13.2,1.8,3.4,8.0,124.0,2.17,0.7608,-1.741
BaF2,58.4413,109.6667,2.95,369.0,3.3333,12.0,2.0,3.3333,0.0,158.0,3.09,1.3733,-3.736
Ga2S3,47.1282,111.8,2.272,354.18,3.4,14.8,2.0,2.8,4.0,17.0,0.77,0.3696,-0.797
CuGaS2,49.3498,116.0,2.2175,609.35,3.5,14.0,1.75,2.25,5.0,27.0,0.77,0.3625,-0.798
CsCl,84.1792,173.0,1.975,236.595,4.5,9.0,1.5,2.5,0.0,142.0,2.37,1.185,-2.131
NiFe2O4,33.483,93.1429,2.7614,795.6,2.8571,12.8571,2.0,2.2857,2.8571,66.0,1.61,0.7755,-1.854
CuInSe2,84.071,128.5,2.195,693.88,4.25,14.0,1.75,2.25,10.0,22.0,0.77,0.355,-0.608
MgBr2,61.371,127.0,2.41,484.8667,3.6667,12.0,2.0,3.3333,6.6667,21.0,1.65,0.7333,-1.769
YAlO3,32.7771,101.8,2.63,579.374,2.8,12.8,2.0,2.6,0.2,124.0,2.22,0.972,-3.613
ZnCl2,45.4287,108.6667,2.6567,345.2933,3.3333,15.3333,2.0,3.3333,3.3333,20.0,1.51,0.6711,-1.411
GaSb,95.7415,130.5,1.93,603.345,4.5,14.0,2.0,2.0,10.0,17.0,0.24,0.12,-0.163
TiF3,26.2156,82.75,3.37,525.375,2.5,13.75,2.0,3.75,0.5,103.0,2.44,0.915,-3.17
InAs,94.8698,130.5,1.98,759.875,4.5,14.0,2.0,2.0,10.0,23.0,0.4,0.2,-0.287
MgF2,20.7673,85.0,3.09,343.3333,2.3333,12.0,2.0,3.3333,0.0,84.0,2.67,1.1867,-3.771
Sm2O3,69.7436,118.8,2.532,570.88,3.6,10.8,2.0,2.4,0.0,132.0,2.27,1.0896,-3.743
CoAl,42.9574,123.5,1.745,1350.735,3.5,11.0,2.0,0.5,3.5,5.0,0.27,0.135,-0.683
BaBr2,99.045,151.6667,2.27,510.5333,4.6667,12.0,2.0,3.3333,6.6667,95.0,2.07,0.92,-2.397
NiF2,32.2301,79.3333,3.29,611.6667,2.6667,14.6667,2.0,3.3333,2.6667,67.0,2.07,0.92,-2.189
Y2S3,54.8013,139.0,2.036,952.616,3.8,10.8,2.0,2.4,0.4,85.0,1.36,0.6528,-2.038
NaI,74.9471,152.5,1.795,378.86,4.0,9.0,1.5,2.5,5.0,27.0,1.73,0.865,-1.347
CdSe,95.6855,132.0,2.12,544.11,4.5,14.0,2.0,2.0,10.0,24.0,0.86,0.43,-0.548
Al2Cu,39.1697,124.6667,1.7067,1074.9033,3.3333,12.3333,1.6667,0.6667,3.3333,11.0,0.29,0.1289,-0.175
FeAl,41.4133,126.5,1.72,1372.235,3.5,10.5,2.0,0.5,3.0,11.0,0.22,0.11,-0.353
CdCl2,61.1057,116.0,2.67,312.4733,3.6667,15.3333,2.0,3.3333,3.3333,42.0,1.47,0.6533,-1.451
LaNi5,72.0621,137.8333,1.775,1638.8333,4.3333,8.8333,2.0,0.0,6.8333,83.0,0.81,0.225,-0.363
LiFeO2,23.6962,98.0,2.4225,593.5725,2.5,10.25,1.75,2.0,1.5,66.0,2.46,1.0175,-2.142
SrO,51.8097,130.5,2.195,552.4,3.5,9.0,2.0,2.0,0.0,129.0,2.49,1.245,-3.159
CaSe,59.519,148.0,1.775,804.5,4.0,9.0,2.0,2.0,5.0,56.0,1.55,0.775,-1.867
KCl,37.2756,152.5,1.99,254.065,3.5,9.0,1.5,2.5,0.0,101.0,2.34,1.17,-2.201
AlH3,7.5013,53.5,2.0525,243.875,1.5,4.0,1.25,0.25,0.0,90.0,0.59,0.2212,-0.15
In2Se3,93.3032,128.8,2.242,468.3,4.4,14.8,2.0,2.8,10.0,22.0,0.77,0.3696,-0.724
KTaO3,53.6089,114.2,2.528,758.186,3.2,10.8,1.8,2.4,0.6,137.0,2.62,1.0944,-2.998
TiAl,37.4243,140.5,1.575,1437.235,3.5,8.5,2.0,0.5,1.0,39.0,0.07,0.035,-0.395
RbF,52.2331,138.5,2.4,182.98,3.5,9.0,1.5,2.5,0.0,163.0,3.16,1.58,-2.755
Mo2C,67.9769,128.0,2.29,3205.0,4.0,8.6667,1.3333,0.6667,3.3333,78.0,0.39,0.1733,-0.269
CdO,64.2052,105.0,2.565,324.51,3.5,14.0,2.0,2.0,5.0,78.0,1.75,0.875,-1.296
SrS,59.8425,150.0,1.765,719.18,4.0,9.0,2.0,2.0,0.0,90.0,1.63,0.815,-2.337
CsPbCl3,89.2929,139.2,2.52,283.4,4.2,13.2,1.8,3.4,2.0,142.0,2.37,0.768,-2.009
CdS,72.238,124.5,2.135,491.29,4.0,14.0,2.0,2.0,5.0,39.0,0.89,0.445,-0.747
CaAl2O4,22.577,97.4286,2.5686,457.3057,2.5714,13.1429,2.0,2.5714,0.0,110.0,2.44,0.9959,-3.648
AgCl,71.6606,123.5,2.545,703.265,4.0,14.0,1.5,2.5,5.0,43.0,1.23,0.615,-1.032
AlF3,20.9942,73.0,3.3875,273.4925,2.25,16.0,2.0,4.0,0.0,64.0,2.37,0.8888,-3.957
BP,20.8924,95.5,2.115,1332.65,2.5,14.0,2.0,2.0,0.0,23.0,0.15,0.075,-0.437
CoAl2O4,25.2706,90.2857,2.6943,550.5914,2.5714,14.1429,2.0,2.5714,1.0,60.0,1.83,0.8522,-2.856
Zn3N2,44.8307,101.6,2.206,440.828,3.2,13.2,2.0,1.2,6.0,51.0,1.39,0.6672,-0.122
BaSnO3,60.807,110.4,2.634,333.896,3.4,12.8,2.0,2.8,2.0,149.0,2.55,0.9672,-2.725
Al2S3,30.0316,111.4,2.192,606.404,3.0,14.8,2.0,2.8,0.0,16.0,0.97,0.4656,-1.424
NaFeO2,27.7084,107.5,2.41,572.8675,2.75,10.25,1.75,2.0,1.5,100.0,2.51,1.03,-1.977
AlCl3,33.3351,106.75,2.7725,362.0675,3.0,16.0,2.0,4.0,0.0,19.0,1.55,0.5812,-1.817
